eigenvalue,mean,std,min,max,median,q25,q75,stable_count,all_strong_count
lambda_x,-100.45074900622882,27.25858668183975,-143.83829907511128,-18.464686986073662,-102.6758515693688,-119.70151566773625,-84.50672125934764,99,99
lambda_y,-106.76084389821636,38.727277069660296,-229.98199549948893,-43.30893478048219,-98.69325537691986,-134.88413207324834,-81.12339133970693,99,99
lambda_z,-62.82514830286543,28.075606294355847,-146.18808893467707,12.90956874819586,-58.20877062431657,-83.14106326019291,-45.419118313617446,99,99
