run_id,lambda_x,lambda_y,lambda_z,stable,all_strong
1,-41.249818328856904,-90.87164542359446,-55.04597052232366,True,True
2,-111.69126019361585,-97.27393534866864,-46.758268470167444,True,True
3,-115.1604113301575,-88.7862630166712,-61.43834171657919,True,True
4,-119.7268040012322,-168.57453326298221,-49.1487927421736,True,True
5,-77.32156797589364,-73.54134011857396,-76.88270520916504,True,True
6,-80.19189483419333,-95.30820000368041,-38.19601343861409,True,True
7,-116.02397381142933,-138.99905736177863,-61.05917580496191,True,True
8,-132.59404760088768,-162.12161187186723,-85.36672044899106,True,True
9,-129.47632997479224,-134.5698245487816,-109.17249149962957,True,True
10,-75.04748781483559,-83.9662487001059,-62.07737094643686,True,True
11,-70.17599627422238,-87.5619257966556,-70.03161191740476,True,True
12,-97.37518046517074,-85.01367561639766,-146.18808893467707,True,True
13,-57.4048502631976,-76.65490569850255,-42.866641351868864,True,True
14,-94.00255496642094,-79.09120653458179,-18.65051071411219,True,True
15,-97.35758272074014,-143.03508943928813,-54.72156417008535,True,True
16,-111.6028479055717,-130.7623121416783,-30.980314234613168,True,True
17,-102.42080321079851,-157.45014499628655,-128.30867471001716,True,True
18,-117.63961620470299,-48.7874703630592,-66.69587160313881,True,True
19,-84.04657061976854,-122.8167495008624,-107.0405081291332,True,True
20,-143.83829907511128,-76.57826482907106,-36.01696568976031,True,True
21,-91.59554187470852,-65.8154478339616,-55.32186150226647,True,True
22,-115.27367336250826,-154.13361631610064,-106.69796668165226,True,True
23,-127.05614854216219,-90.05945163320729,-53.54638278350303,True,True
24,-101.42324578887342,-166.99948033003176,-37.90147734304313,True,True
25,-27.513742447317554,-137.32861146741368,-36.87612342573993,True,True
26,-87.70984063752228,-67.75499748943926,-91.73508840924887,True,True
27,-110.58081660934018,-80.36543952997985,-31.9393409742379,True,True
28,-98.72990016036432,-107.644406915913,-66.37652331849034,True,True
29,-83.36739118421825,-100.22452537795043,-88.34219992772613,True,True
30,-135.594267548163,-142.6589380153786,-56.458802780834695,True,True
31,-104.01441088033685,-77.28418423239425,-55.270784621057864,True,True
32,-56.51540169209922,-93.92262049291254,-54.98346337405518,True,True
33,-94.99424659353397,-68.088329430247,-56.68923169275675,True,True
34,-100.0466432084975,-98.32099224027179,-68.25075380738971,True,True
35,-138.98814689778166,-128.05084517867886,-48.420563918178985,True,True
36,-84.66010480587401,-80.47900602970854,-54.30305656866746,True,True
37,-137.6697728466556,-65.65827749881231,-45.96681453120699,True,True
38,-131.28191152462986,-83.31546058383348,-54.30077893639872,True,True
39,-129.70940654242924,-160.5480246317561,-58.480296836635546,True,True
40,-50.29477862039516,-146.13360425483748,-14.68026400868851,True,True
41,-117.30371507593878,-50.09854592462338,-48.947799758026505,True,True
42,-98.55461231888907,-155.54929823718135,-62.22592601516975,True,True
43,-101.46368149071843,-84.68512195777521,-53.87872966445723,True,True
44,-78.62970211696427,-121.31300731966614,-93.86107219236698,True,True
45,-73.41489633414328,-58.616271411371294,-20.62539086196005,True,True
46,-121.02452970078511,-100.74865872947034,-86.29940471288923,True,True
47,-66.19137638976765,-47.216920278502975,-107.92408567692823,True,True
48,-132.03851656030264,-43.30893478048219,-72.43096319141569,True,True
49,-94.02904293559524,-135.82705464664852,-31.92627482923035,True,True
50,-85.53612369826935,-63.900169724015704,-40.26517942727776,True,True
51,-118.34695256919836,-121.67008850425012,-59.708110297693935,True,True
52,-86.71932659195176,-96.54781983726144,-60.86839127464047,True,True
53,-137.68230820671795,-103.09444148231675,-90.04238212346914,True,True
54,-120.39780374039825,-92.76013109726307,-77.89174983818594,True,True
55,-80.07571623249873,-76.74356832906523,-67.6983100316792,True,True
56,-134.444069048547,-104.55660998262114,-111.04329338334912,True,True
57,-85.93436468792575,-84.1272314001742,-38.78120050978955,True,True
58,-137.73570463876763,-94.8723429802893,-25.47223223041463,True,True
59,-138.04890165996935,-114.62616934366567,-82.91975725332924,True,True
60,-102.05940778951191,-89.56695263403714,-57.625786378726715,True,True
61,-119.6930862232376,-88.36304167468373,-47.69559458657024,True,True
62,-128.99448763995147,-114.17204671403883,-25.230943211889038,True,True
63,-81.88744599573769,-55.01251029230515,-95.30788602378121,True,True
64,-65.07866359153999,-81.33818644303973,-89.64145127133148,True,True
65,-30.907140485311757,-128.0261727748208,-43.776029660848806,True,True
66,-107.82389146789862,-130.90555114006904,-73.51362482228687,True,True
67,-75.50569732550004,-220.64526722131978,-49.52290809429432,True,True
68,-125.48854363554685,-95.27362714354263,-67.2352976170594,True,True
69,-110.36054022048987,-143.3528566767007,-29.528057315853456,True,True
70,-99.37163554202985,-156.3424903622502,-41.851253242940885,True,True
71,-102.9308999279391,-43.60209165073362,-113.24834018300129,True,True
72,-84.89586923785123,-112.55116338749902,-34.1662685876624,True,True
73,-101.8572303141263,-95.62373398112707,-83.80498128078393,True,True
74,-90.96985974457573,-137.87815779159018,-66.56952507765564,True,True
75,-107.3838097022047,-113.0256035236801,-48.94071614513952,True,True
76,-110.97014998562996,-178.26070292477945,-89.67328278007221,True,True
77,-109.09007351151655,-60.500801332968884,-75.18948719097867,True,True
78,-123.2056660332129,-229.98199549948893,-65.93421793390354,True,True
79,-114.50519541501588,-99.9612613538173,-81.32877414571317,True,True
80,-114.23591738034176,-115.19019598460898,-51.57780686636448,True,True
81,-118.30814165666737,-157.7592726860796,-126.99587540303004,True,True
82,-126.76563717740548,-47.09122624596979,-96.66517781802173,True,True
83,-133.46216132897476,-120.27231846332899,-57.937244411997604,True,True
84,-22.718453205413642,-99.06551851356792,12.90956874819586,False,False
85,-121.11867826175472,-140.85773723386484,-21.34529204590454,True,True
86,-112.69595212027413,-106.65397868532398,-111.57673884429579,True,True
87,-86.90017840520143,-109.93651376578968,-97.97271233845127,True,True
88,-67.25208728250186,-49.18976464007422,-66.3372594605392,True,True
89,-105.62814090296109,-60.99902595400491,-97.8232710129962,True,True
90,-18.464686986073662,-139.8574855129534,-20.609693725993505,True,True
91,-83.96450656142208,-84.39883129244768,-65.52459821831792,True,True
