eigenvalue,mean,std,min,max,median,q25,q75,stable_count,all_strong_count
lambda_x,146.132971524928,38.99188349676062,54.321387563021915,232.75306141681614,147.3986139635709,116.93749645865377,171.86452045052587,0,0
lambda_y,-221.00073067466278,42.674285634538414,-325.6221085020642,-114.53287783620078,-222.6955922813936,-248.93806309273572,-190.58206196278735,0,0
lambda_z,-32.847687331379056,32.990199396545044,-163.0565812391068,56.383604610030886,-28.296906247326305,-46.3919742394716,-13.332283543745376,0,0
