eigenvalue,mean,std,min,max,median,q25,q75,stable_count,all_strong_count
lambda_x,-162.19366562747012,48.57561206762541,-321.78018283196644,-61.455769773840245,-164.60628150004683,-191.02904122625284,-139.2506551085258,0,0
lambda_y,-220.12847218174724,59.72268384779696,-323.0821211548946,-108.15561150936934,-228.7903638381836,-264.8900381618054,-171.6829040849852,0,0
lambda_z,26.380959056011108,14.904358770946166,9.996130566206244,73.33043846417527,23.208729751104666,13.905639114645155,34.196549748580644,0,0
