run_id,lambda_x,lambda_y,lambda_z,stable,all_strong
1,-92.47429938640282,-166.7307136800544,-52.2466783397944,True,True
2,-145.99362157131847,-163.6751430095277,-89.37432793746657,True,True
3,-106.72886934764574,-257.8036548430624,-47.35218839959222,True,True
4,-183.60330134453108,-285.9304716389023,-81.68475168262967,True,True
5,-131.08316716613518,-128.73641023846537,-89.84120322648492,True,True
6,-10.574144360056202,-146.28061465233463,-42.930219786774394,True,True
7,-47.991099599572735,-253.53937011293013,-67.39465520908131,True,True
8,-49.87113685421466,-292.1435163427318,-53.243858531581445,True,True
9,-179.45406532072224,-155.4723957106291,-83.4860791111001,True,True
10,-141.13144146359897,-198.15665659325558,-61.142437637659526,True,True
11,-80.05816215713658,-126.4518956985228,-33.86751374324487,True,True
12,-181.03856882922463,-280.96287383758676,-93.00272614910139,True,True
13,-155.99379574652787,-293.1959949256699,-80.0983248939854,True,True
14,-128.99050400417389,-162.03373771059543,-75.13496321592247,True,True
15,-118.21917510307472,-229.69685105344658,-89.87939265718855,True,True
16,-129.24656304608388,-128.82515768058164,-48.63234547564597,True,True
17,-113.42381231194338,-306.8178252416222,-97.16681558006725,True,True
18,-87.84242253270861,-268.690677463949,-95.26389020416221,True,True
19,-69.61636100727097,-303.67617698157403,-94.30021749820193,True,True
20,-148.05158494714198,-187.21827329046317,-85.81980944977414,True,True
21,-199.32101547082783,-216.48117775500134,-69.8877677892889,True,True
22,-92.16474093085154,-225.85142180815097,-84.60428236391975,True,True
23,-16.715663627744192,-270.74752818782247,-48.27548716402438,True,True
24,-95.93517521466347,-215.23404691414174,-77.66233668856901,True,True
25,-179.41318208718758,-281.5423714968372,-91.68104603250615,True,True
26,-148.4882119198347,-257.6353893288279,-68.15025125105203,True,True
27,-86.53434735363867,-224.6589966304213,-84.10504531861123,True,True
28,-187.74761002197823,-249.76455648375477,-70.12761157036644,True,True
29,-135.4456757475956,-280.5095419106271,-91.54008285601557,True,True
30,-80.33243728585795,-219.77909583110957,-70.25773069723736,True,True
31,-111.97577047595578,-133.93861609792833,-63.36878675806919,True,True
32,-81.96623170242525,-267.7086163523962,-62.495625182881746,True,True
33,-131.88022107188874,-281.7792326110772,-77.26703256787368,True,True
34,-58.10686358096877,-305.8117737125244,-79.93001039582985,True,True
35,-60.93362517056308,-276.327919546391,-97.52949874098998,True,True
36,-86.2989644050565,-153.4493514826273,-94.18677299879771,True,True
37,-134.96383649210208,-160.58911486535575,-75.38139399398176,True,True
38,-180.71339703450602,-318.26804437613896,-36.68392588190151,True,True
39,-75.44403106814856,-188.6915847160172,-87.00307690661269,True,True
40,-98.45143768124709,-266.0383625107495,-88.54200334992515,True,True
41,-59.39990338893641,-125.75274733425292,-94.35280703677611,True,True
42,-93.5568714975519,-138.94460056586414,-69.44394152103288,True,True
43,-53.271154136181714,-282.03153467915644,-90.28942702839737,True,True
44,-93.50290650187856,-129.9748322215447,-58.73251570657867,True,True
45,-141.63594911672874,-158.00834944202873,-47.03382564412904,True,True
46,-61.64960123686618,-292.34635406305017,-51.683650733694044,True,True
47,-64.26392142918726,-144.65551874854265,-80.01395814810667,True,True
48,-26.46938626566204,-136.31471336735646,-26.436262576074487,True,True
49,-103.75838009449619,-157.32741905011667,-72.44016249592113,True,True
50,-130.18559380613965,-169.81847668245152,-86.59855816388075,True,True
51,-15.715032287190255,-194.334241332105,-71.23016425953963,True,True
52,-65.36869383685708,-135.83557551801078,-96.2520982650044,True,True
53,-143.9570024664026,-186.86746981545173,-90.4651226357976,True,True
54,-197.74527286724216,-249.51613319199407,-65.7919373301159,True,True
55,-63.2489160179595,-297.98347131528175,-16.750930732252,True,True
56,-111.59961809948288,-287.2944767994414,-37.01496149526673,True,True
57,-121.37790730447061,-268.0589185133814,-38.5438459664163,True,True
58,-132.699516054789,-220.5748178689944,-76.25006612009823,True,True
59,-76.612110655576,-285.0393044140316,-56.2727017718294,True,True
60,-62.94859248544387,-150.10709045257943,-34.20310447058336,True,True
61,-154.1987071715533,-151.04125871772777,-69.57258433231416,True,True
62,-35.41454846548367,-138.6155146445623,-96.9142592079182,True,True
63,-60.81122001809661,-291.8951820431529,-99.8022575365995,True,True
64,-140.69063408372904,-300.9268265887237,-79.64827080266244,True,True
65,-121.96743208847596,-275.7992353552588,-30.18862063011789,True,True
66,-100.9040863076875,-246.52534142885412,-88.5895020499727,True,True
67,-211.26842578702033,-124.74448726780717,-23.43936562193653,True,True
68,-125.0578022851896,-301.23023870141736,-98.58663423059107,True,True
69,-116.23326228836507,-154.92348758101787,-76.03307823138992,True,True
70,-190.3078522461245,-278.9160323853451,-87.3931057342916,True,True
71,-87.86034340339621,-296.3616518999144,-96.86645357387548,True,True
72,-91.16246700142828,-178.7642371426372,-80.39140468693324,True,True
73,-58.80844937065187,-136.03094172878644,-96.32819026469814,True,True
74,-202.83730374327692,-147.83102891926796,-49.557576018869625,True,True
