eigenvalue,mean,std,min,max,median,q25,q75,stable_count,all_strong_count
lambda_x,-110.02124438599694,47.27515876876005,-211.26842578702033,-10.574144360056202,-105.3517905195894,-141.2575683768814,-79.19664928174643,100,100
lambda_y,-214.28464750251945,64.98434016693834,-318.26804437613896,-112.3888495882566,-210.00087160823387,-281.02354146953843,-152.02667324841025,100,100
lambda_z,-72.80022959611325,20.770012863067624,-99.8022575365995,-16.750930732252,-76.75854934398595,-90.33335093024743,-60.53995715488931,100,100
