P,C_m,B,alpha,F,beta,W_m,I,R_c,C_c,gamma,R_p,C_p,run_id,mean_seller_p1,std_seller_p1,mean_customer_p1,std_customer_p1,mean_ecommerce_p1,std_ecommerce_p1,mean_distance,std_distance,cluster
195.199915766716,63.08113783597946,11.476541571319103,0.6305819675326347,152.78251767158508,0.3761798389256,73.95127296447754,20.89049987494945,247.549107670784,10.268707871437073,0.5122961461544038,22.979350686073303,47.3674651235342,2,0.9999998331069946,2.2110029448260557e-07,1.0,0.0,0.0001724605899653,9.24315856281576e-05,0.0001724610672681,9.243111372383552e-05,4
292.7662491798401,61.74914836883545,11.42995249480009,0.5620508790016174,186.5526512265205,0.5072043299674989,85.80065488815308,22.247790172696117,278.2181441783905,7.733460068702698,0.3203195750713348,29.155958741903305,81.7034050822258,3,0.9999998807907104,1.8467823725735746e-07,0.9999999284744264,5.8400386399821724e-08,8.115995005937293e-05,1.7072969899591656e-05,8.116035314742476e-05,1.7072712189901442e-05,2
292.1839952468872,168.3647707104683,15.487736091017725,0.8233320340514183,129.70064394176006,0.5335920125246049,74.87497448921204,17.398502454161644,225.5802810192108,27.96990379691124,0.5976627707015723,27.573692351579663,67.40762397646904,6,0.9999942779541016,8.431392508199728e-06,0.9999997615814208,3.693564745147149e-07,6.178778112371219e-05,4.307127234239756e-05,6.228811835171655e-05,4.355545736813087e-05,6
229.03980612754825,130.23962154984474,8.496561199426651,0.8739898428320885,68.80035847425461,0.6568687826395035,65.68919718265533,32.044390961527824,279.2169511318207,12.935669273138046,0.7886756658554077,28.5334575176239,53.25073787942529,7,0.999967098236084,2.625864343646654e-05,0.9999999046325684,1.9073486328125e-07,8.800218638498336e-05,5.770010225766901e-05,0.0001042999356286,4.435422988878539e-05,1
183.82034748792648,120.1566256582737,11.6758181899786,0.5715388208627701,162.9047855734825,0.660797068476677,42.02780485153198,35.05199819803238,106.36010766029358,20.10160136967897,0.4068158447742462,22.544109374284744,33.883802592754364,10,0.999984049797058,1.249195049595717e-05,0.999999713897705,4.56121598952031e-07,0.000543221355474,0.0002283176348944,0.0005435739134554,0.0002283780357026,3
217.13190078735352,53.339479863643646,12.609298208262771,0.5965594053268433,111.383618414402,0.5956752717494965,89.95733737945557,32.6808050647378,272.24594950675964,20.971921384334564,0.3164242565631866,29.36389252543449,80.10946214199066,12,0.9999996185302734,4.732473669357111e-07,1.0,0.0,8.86585201442358e-05,6.841981600302495e-05,8.866095013218e-05,6.841936714099677e-05,2
256.7320942878723,71.07207328081131,18.809471130371094,0.6227269172668457,166.19614213705063,0.6249977886676789,58.76257821917534,48.722699880599976,152.7014046907425,9.341692477464676,0.7060849785804749,29.380896240472797,75.15158116817474,13,0.9999997854232788,2.311553887088933e-07,0.999999713897705,5.146749769430853e-07,5.6944805328384974e-05,3.240145548924739e-05,5.695678810297977e-05,3.238727222282443e-05,0
288.8919532299042,141.197057813406,7.527696341276169,0.5815619379281998,148.9090032875538,0.7531242609024048,43.20237040519714,29.08672561869025,114.61103558540344,14.223512932658195,0.4343385815620422,24.257643073797222,48.64723488688469,15,0.9999995231628418,5.984258841519896e-07,0.999999713897705,3.071808511430055e-07,0.0002351179304241,0.0001351164769046,0.0002351196424569,0.0001351163090798,3
292.27542877197266,174.3530973792076,6.13495483994484,0.8100386410951614,65.2629941701889,0.7114126712083817,64.4032809138298,34.54908065497875,294.0307915210724,9.668430984020231,0.3336439311504364,22.383206635713577,94.306743144989,18,0.9999954700469972,6.051324683912814e-06,0.9999998331069946,3.337860107421876e-07,0.0002790126251056,8.741913890596312e-05,0.0002791151986457,8.74192918222958e-05,3
285.5558454990387,72.03923314809799,18.221770972013477,0.5553463995456696,64.87216055393219,0.769136705994606,88.9901614189148,28.287909124046564,199.49734932743013,16.99893467128277,0.3845049262046814,27.439372539520264,69.8942543566227,20,0.9999996900558472,5.621827183986471e-07,0.9999995946884156,3.071808511430055e-07,5.2060693997191264e-05,3.0417662383335915e-05,5.206677124078851e-05,3.041828510802099e-05,2
140.33756256103516,69.28668320178986,8.111173808574677,0.9391963183879852,145.834518969059,0.7885475933551789,98.26801061630248,29.365048557519916,203.6665040999651,22.192938551306725,0.7503202378749848,27.22582623362541,84.61886435747147,21,0.9999953031539917,5.991188969966298e-06,0.9999998331069946,2.78041453115716e-07,8.948806425905787e-05,6.140837556459007e-05,8.964278022176586e-05,6.165495278099795e-05,5
271.27436995506287,98.10470566153526,18.038216680288315,0.5120620578527451,106.57041445374487,0.6287007898092271,83.47487211227417,7.847009301185608,259.798264503479,21.752123460173607,0.721608316898346,29.64420050382614,91.69170200824738,24,0.9999996662139892,5.080050409474972e-07,0.9999999046325684,1.39020726557858e-07,9.06220098841004e-05,7.047781243241195e-05,9.06312277948018e-05,7.046878130704871e-05,6
197.34620805829763,53.53928655385971,19.536928683519363,0.5957959443330765,88.76275941729546,0.6979545444250107,84.89079236984253,45.48896700143814,244.07995641231537,13.575979247689247,0.3444980263710022,28.575052618980408,68.15912663936615,25,0.999999952316284,5.8400386399821724e-08,0.999999952316284,9.5367431640625e-08,7.273026021721307e-05,3.982684842910242e-05,7.273033006640616e-05,3.98269334549438e-05,2
294.11837458610535,82.08506256341934,11.747596058994532,0.5099040120840073,78.96206825971603,0.3781656257808209,94.65115547180176,8.76924529671669,230.85992336273196,18.921261206269264,0.3176458060741424,26.0025392472744,70.13550698757172,27,0.9999998331069946,2.78041453115716e-07,0.9999998331069946,3.337860107421876e-07,7.833219024178106e-05,7.113898563020184e-05,7.833451454644091e-05,7.113814139941513e-05,2
258.6616516113281,87.32307702302933,19.042865335941315,0.6599353104829788,142.06544421613216,0.6644849240779876,73.20501327514648,8.878805488348007,254.35521006584167,27.44090214371681,0.3712176740169525,26.159321814775467,77.28123769164085,32,0.9999991893768312,1.2736997975533562e-06,1.0,0.0,3.651249498943798e-05,2.14321579752981e-05,3.654191368696047e-05,2.1435196484975097e-05,6
174.77626502513883,55.04017025232315,14.823422878980637,0.7514503881102428,59.13863927125931,0.7722803860902787,30.021286010742188,15.0704824924469,259.1195344924927,17.216029013507068,0.7631334185600281,27.345204651355743,97.53541201353072,34,0.9999912977218628,8.103426279544068e-06,0.999999952316284,5.8400386399821724e-08,0.0001022946282319,6.518292369222977e-05,0.0001029864411975,6.517820349782592e-05,1
267.2908365726471,85.75749844312668,10.427312031388285,0.6972811929881573,93.95560324192049,0.6208927944302559,86.55792474746704,33.44500631093979,149.23696517944336,11.36252760887146,0.5286382153630257,27.6882167160511,75.39078861474991,36,0.999999737739563,3.144957055633765e-07,0.9999998092651368,9.5367431640625e-08,0.000143515599484,0.0001484887154481,0.000143517460674,0.0001484876306214,0
291.34578704833984,119.48370859026907,15.885723382234572,0.5110926777124405,147.64012172818184,0.6474810302257538,80.38101434707642,39.376590847969055,290.09503722190857,28.182887583971024,0.7951099455356598,27.989939153194427,36.69868841767311,37,0.9999998331069946,1.215700987241932e-07,0.9999999284744264,9.5367431640625e-08,0.0002501857772585,0.0001602828921654,0.0002501858805771,0.0001602829008142,6
256.01539611816406,80.97317963838577,9.037880599498749,0.5894026607275009,73.3607530593872,0.4463478226680308,81.34607315063477,47.56356179714203,129.9156367778778,28.10157865285873,0.6836008876562119,25.11607363820076,47.041160985827446,44,0.9999996900558472,3.96090691705612e-07,0.9999997854232788,2.86102294921875e-07,0.0001428549716365,0.0001059898385455,0.0001428596273399,0.0001059853621598,0
