P,C_m,B,alpha,F,beta,W_m,I,R_c,C_c,gamma,R_p,C_p,run_id,mean_seller_p1,std_seller_p1,mean_customer_p1,std_customer_p1,mean_ecommerce_p1,std_ecommerce_p1,mean_distance,std_distance
111.58344149589539,124.95978922524955,11.7188816703856,0.8451403230428696,102.99887210130692,0.22021019458770752,38.87881278991699,33.803471475839615,181.52816742658615,25.317741483449936,0.5472108185291291,20.074285678565502,79.02002394199371,0,0.0005035491369199008,0.0001859140753683112,0.9999988317489624,1.7575185293180576e-06,0.0003521077334880829,0.0001704325721137383,0.0006245579977985471,0.00022601915849364515
114.56330418586731,188.1923034787178,14.507220163941383,0.9786435216665268,105.82513362169266,0.15572198629379275,44.702017307281494,29.23162441700697,151.84695422649384,16.84294424019754,0.7220976591110231,18.61198741942644,76.2887479364872,1,0.00047436181621378636,0.0005497869521326782,0.999999213218689,6.334939124863826e-07,0.0001995778438868001,2.8401246883433332e-05,0.0005597604584181681,0.0005045710988657361
137.53317594528198,168.07883381843567,16.222097873687744,0.9920199513435364,115.70537239313126,0.16235108077526095,24.484577178955078,22.534754015505314,183.7892010807991,15.82493681460619,0.5194750875234604,26.423150599002838,88.56914401054382,2,1.364453228234197e-05,1.2672907728002251e-05,0.9999995470046997,2.654916936316501e-07,8.138689809129573e-05,4.153089517490096e-05,8.46208473376464e-05,3.917915125681704e-05
136.4293336868286,184.40168052911758,12.701066951267421,0.8614107444882393,75.0247910618782,0.1194195032119751,23.701140880584717,40.91256856918335,226.81191861629486,24.280045479536057,0.8164939105510711,17.255225353874266,62.085498347878456,3,2.0924782688780397e-06,1.8913589166929802e-06,0.9999998807907104,1.066240299940009e-07,0.0003857908013742417,9.789063503632782e-05,0.0003858071111608297,9.786713949500546e-05
135.25778651237488,139.32878747582436,13.046465665102005,0.8640955910086632,104.0221057832241,0.11583311855792999,27.443702220916748,43.867720514535904,144.54540610313416,12.852663844823837,0.7232303380966187,24.35146376490593,90.45104891061783,4,7.783684282003378e-05,0.0001023518133097517,0.999996018409729,6.6589246366483155e-06,0.00011127077668788843,5.5194038049113374e-05,0.00014514508657157422,0.00010466676524329877
235.12504994869232,194.1094934940338,7.043600529432297,0.83006801456213,126.00244942586869,0.22496514320373537,30.244970321655273,42.50366300344467,167.4429953098297,11.45442120730877,0.7545297503471375,20.45830685645342,82.09484130144119,5,0.00035229764116593285,0.00046459885447794195,0.9999999046325684,8.920806376395085e-08,0.000315426173619926,0.00016724064959340517,0.0005137750093126669,0.0004510699424956681
137.54263520240784,186.99360638856888,11.092772111296654,0.9364532828330994,90.63291847705841,0.12899884879589082,38.06202411651611,30.535566247999668,226.97756588459015,16.67613686993718,0.6733597308397293,24.850502163171768,75.84456875920296,6,4.722250105260173e-06,3.4089520506368064e-06,0.9999988794326782,1.4297165251316977e-06,0.00010891877282119822,8.12200154211694e-05,0.00010915625607594847,8.113027667238513e-05
171.92884981632233,198.68160486221313,11.796018369495869,0.9727659225463867,105.19719049334526,0.19545026123523712,22.521486282348633,33.417979031801224,249.79762732982635,22.151685804128647,0.6940255522727967,24.87684518098831,95.28096437454224,7,8.399420117655154e-07,6.030060761360414e-07,0.999999713897705,5.722045898437501e-07,0.00018378444074187427,9.969498521615742e-05,0.00018378772219875827,9.969635828142948e-05
171.40833735466003,194.20325011014938,15.501495599746704,0.953803762793541,77.15553790330887,0.1179032176733017,33.864805698394775,43.81222024559975,258.4903836250305,18.65226050838828,0.6178228497505188,20.218866989016533,93.16561609506607,8,1.2307966926528024e-06,1.4308876293157682e-06,0.9999999523162841,5.840038639982172e-08,0.00012245378966326825,8.551889492678133e-05,0.00012248526836629027,8.549467286892217e-05
180.3533136844635,193.71850788593292,14.779651910066605,0.832979328930378,108.54902416467667,0.23059715628623964,43.83498430252075,26.296004401519895,174.36469197273254,22.99813322722912,0.5003388941287994,22.901789397001266,85.31087428331375,9,3.523702498569037e-05,3.262915185238536e-05,0.9999994516372681,3.6626557101576846e-07,7.916803988337052e-05,4.8033075844366526e-05,9.790085605345666e-05,3.601280064683037e-05
228.68662178516388,193.2401403784752,14.072456546127796,0.8435573577880859,104.58544790744781,0.18276409804821014,51.9277685880661,41.402644366025925,208.6262471973896,12.948760315775871,0.5559655353426933,22.79540702700615,87.30680257081985,10,6.883326470870088e-05,5.3140212033909544e-05,0.9999985694885254,2.4465510430079083e-06,0.00015039266436360775,5.107230590409752e-05,0.0001742918451782316,4.917944985827246e-05
257.4277102947235,159.42848846316338,12.692902237176895,0.9893983453512192,51.86624974012375,0.17375786304473878,31.59024477005005,18.241929784417152,107.40435123443604,13.623882755637169,0.8344589173793793,24.65271309018135,99.03188616037369,11,6.413673850147461e-06,6.422129293799861e-06,0.9999990224838257,7.364008527508021e-07,0.0002898413971706759,0.0003160345364957655,0.0002899328188505024,0.00031608339158118863
187.76014298200607,176.70268565416336,10.560701861977577,0.8257620707154274,91.61331504583359,0.2617289185523987,40.29757857322693,40.35152018070221,209.0052843093872,25.955220609903336,0.4354891777038574,20.448113530874252,67.23754107952118,12,2.7209846120967995e-05,1.5793765677445227e-05,0.9999994277954102,4.851100432723951e-07,0.00033803050610003993,0.00023220441686458822,0.000342595913389232,0.0002276003907220232
139.8618459701538,177.97573804855347,11.61077568307519,0.9567914754152298,164.68182504177094,0.22787066698074343,37.31976509094238,23.945857137441635,150.05921125411987,10.635194480419159,0.6156606137752534,19.873727969825268,91.65886640548706,13,6.530375503643882e-05,4.158139636276607e-05,0.9999980688095093,2.9446383671051453e-06,0.0008332298719324171,0.0004931010797312395,0.0008364228124264628,0.0004937849124101292
135.1016879081726,188.2535070180893,15.167850255966187,0.9134899377822876,101.63853839039803,0.2828108534216881,25.923471450805664,36.87994308769703,239.95821475982666,27.753361612558365,0.6340134344995022,24.278056174516678,78.17770570516586,14,7.266378506756154e-05,8.891327764196986e-05,0.9999998331069946,1.6170334775746508e-07,0.00015309383161365986,0.00010291158671073915,0.00020129197655478493,8.182728857846404e-05
124.07656908035278,194.97585594654083,16.04948230087757,0.9111488312482834,85.11853367090225,0.1519392728805542,42.68085479736328,28.622742602601647,194.73835118114948,16.578819900751114,0.7332408875226974,23.40277388691902,58.04671719670296,15,5.927561542193871e-05,6.455171997682923e-05,0.9999996185302734,4.3572585302584334e-07,0.00023154473892645911,0.00012741285685347753,0.00025826943601714447,0.00010404211773344577
