alpha_ent,n,n_pass,success_rate,ci_low,ci_high,walltime_sec
0.0,30,4,0.13333333333333333,0.05309569424218104,0.2968168394441695,4599.641105890274
0.05,30,15,0.5,0.33153851227173764,0.6684614877282624,3809.1974153518677
0.1,30,29,0.9666666666666667,0.8332924860304112,0.9940915620051425,3786.0392751693726
0.2,30,30,1.0,0.8864829086095221,1.0,3733.8086833953857
0.4,30,30,1.0,0.8864829086095221,1.0,2962.537936449051
