outer_steps,n,n_pass,success_rate,ci_low,ci_high
50,30,2,0.06666666666666667,0.01847663532769335,0.21323817721072091
100,30,2,0.06666666666666667,0.01847663532769335,0.21323817721072091
200,30,6,0.2,0.09504978102401235,0.37306047381027446
300,30,21,0.7,0.5212387898833981,0.8333543735604105
500,30,30,1.0,0.8864829086095221,1.0
