w_strategy,w_stability,n,n_pass,success_rate,ci_low,ci_high,walltime_sec
0.25,0.5,30,30,1.0,0.8864829086095221,1.0,4620.720786809921
0.5,0.5,30,30,1.0,0.8864829086095221,1.0,3816.5533039569855
1.0,0.5,30,30,1.0,0.8864829086095221,1.0,3781.016005754471
2.0,0.5,30,29,0.9666666666666667,0.8332924860304112,0.9940915620051425,3731.956789970398
4.0,0.5,30,28,0.9333333333333333,0.7867618227892791,0.9815233646723066,2971.7070412635803
