inner_episodes,n,n_pass,success_rate,ci_low,ci_high,walltime_sec
500,30,23,0.7666666666666667,0.5907132766967574,0.8820776078949878,4438.17421412468
1000,30,25,0.8333333333333334,0.6643529481431982,0.9266356575964831,3687.810919523239
2000,30,30,1.0,0.8864829086095221,1.0,3624.9156918525696
3000,30,30,1.0,0.8864829086095221,1.0,3895.348555088043
